Liga,time,pct_marcou_1gol_casa,pct_marcou_1gol_fora,pct_marcou_1gol_geral,avg_min_marcou_1gol_casa,avg_min_marcou_1gol_fora,avg_min_sofreu_1gol_casa,avg_min_sofreu_1gol_fora,dp_min_marcou_1gol_casa,dp_min_marcou_1gol_fora,dp_min_sofreu_1gol_casa,dp_min_sofreu_1gol_fora,cv_min_marcou_1gol_casa,cv_min_marcou_1gol_fora,cv_min_sofreu_1gol_casa,cv_min_sofreu_1gol_fora,n_marcou_1gol_casa,n_sofreu_1gol_casa,n_marcou_1gol_fora,n_sofreu_1gol_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Italia_1 Serie A,Lecce,47,43,45,19.7,31.2,48.8,45.4,24.4,22.5,29.3,24.3,123.7,72.2,60.0,53.4,7,5,6,7,25.0,7.7,16.7,7.7,8.3,7.7,0.0,7.7,0.0,7.7,0.0,0.0,0.0,7.7,8.3,0.0,0.0,0.0
Italia_1 Serie A,Napoli,57,56,57,27.0,19.6,14.8,27.4,30.1,21.2,13.3,26.4,111.6,108.6,90.3,96.1,8,4,9,7,25.0,18.8,16.7,25.0,0.0,0.0,16.7,6.2,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,8.3,0.0
Italia_1 Serie A,Parma,29,27,28,22.2,58.0,42.6,26.6,23.4,35.1,29.2,25.7,105.0,60.6,68.5,96.9,4,8,4,7,16.7,0.0,0.0,9.1,0.0,0.0,8.3,9.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,9.1
Italia_1 Serie A,Pisa,13,43,28,42.0,18.7,55.6,32.0,46.7,14.7,25.3,24.1,111.1,78.9,45.5,75.2,2,10,6,7,8.3,7.7,0.0,23.1,0.0,7.7,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0
Italia_1 Serie A,Roma,71,53,62,43.8,22.5,40.8,41.7,22.6,16.6,25.9,24.0,51.6,73.9,63.6,57.4,10,4,8,7,7.1,13.3,7.1,20.0,7.1,6.7,7.1,6.7,7.1,0.0,21.4,6.7,7.1,0.0,7.1,0.0,0.0,0.0
Italia_1 Serie A,Sassuolo,40,36,38,26.0,38.4,18.1,25.9,25.3,23.6,18.7,25.5,97.1,61.3,103.0,98.5,6,9,5,8,13.3,0.0,6.7,7.7,6.7,15.4,6.7,0.0,0.0,0.0,0.0,7.7,6.7,0.0,0.0,7.7,0.0,0.0
Italia_1 Serie A,Torino,47,36,41,21.3,35.4,30.1,17.6,10.8,25.5,16.5,9.8,50.8,72.1,54.7,56.0,7,7,5,7,14.3,8.3,0.0,8.3,28.6,8.3,7.1,0.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,0.0,0.0,0.0
Italia_1 Serie A,Udinese,47,40,43,35.9,33.8,37.9,21.7,24.5,21.7,21.2,23.3,68.3,64.1,56.1,107.6,7,8,6,9,13.3,0.0,6.7,13.3,0.0,6.7,6.7,6.7,6.7,6.7,6.7,0.0,0.0,6.7,6.7,0.0,0.0,0.0
Italia_2 Serie B,Avellino,56,27,42,33.9,34.5,35.0,24.8,27.2,21.9,31.3,18.5,80.4,63.6,89.4,74.4,8,6,4,11,14.3,6.7,0.0,0.0,7.1,6.7,21.4,0.0,7.1,0.0,0.0,13.3,0.0,0.0,0.0,0.0,7.1,0.0
Italia_2 Serie B,Bari 1908,33,38,35,46.4,27.0,30.3,31.8,24.7,19.3,19.5,24.1,53.3,71.5,64.4,75.8,5,9,6,8,7.1,14.3,0.0,0.0,0.0,7.1,0.0,7.1,14.3,7.1,7.1,7.1,0.0,0.0,7.1,0.0,0.0,0.0
Italia_2 Serie B,Calcio Padova,40,38,39,16.0,39.0,33.4,42.3,7.1,17.9,19.8,27.1,44.5,46.0,59.2,64.0,6,9,6,9,6.7,6.7,26.7,0.0,6.7,0.0,0.0,13.3,0.0,6.7,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0
Italia_2 Serie B,Carrarese,44,33,39,32.3,22.6,30.5,23.7,24.0,22.9,17.2,15.0,74.4,101.5,56.5,63.4,7,4,5,10,18.2,13.3,9.1,6.7,9.1,0.0,0.0,0.0,9.1,13.3,9.1,0.0,9.1,0.0,0.0,0.0,0.0,0.0
Italia_2 Serie B,Catanzaro,53,53,53,38.1,23.4,15.2,30.7,16.8,15.0,10.5,32.9,44.1,64.2,69.2,107.4,8,6,7,6,7.1,15.4,0.0,7.7,14.3,23.1,0.0,0.0,21.4,7.7,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
