Liga,time,total_jogos_ca,total_jogos_fo,total_jogos_ht_ca,total_jogos_ht_fo,over05_ht_casa,over15_ht_casa,over25_ht_casa,over05_ht_fora,over15_ht_fora,over25_ht_fora,over05_2h_casa,over15_2h_casa,over25_2h_casa,over05_2h_fora,over15_2h_fora,over25_2h_fora,media_gols_ht_casa,media_gols_ht_fora,media_gols_2h_casa,media_gols_2h_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Franca_1 Ligue 1,Nice,13,13,13,13,76.9,46.2,23.1,84.6,46.2,30.8,84.6,38.5,15.4,92.3,38.5,15.4,1.46,1.69,1.46,1.54,15.4,0.0,7.7,15.4,15.4,23.1,15.4,23.1,7.7,23.1,30.8,7.7,15.4,7.7,15.4,0.0,7.7,15.4
Franca_1 Ligue 1,Olympique Lyonnais,12,14,12,14,58.3,33.3,8.3,78.6,21.4,14.3,91.7,33.3,8.3,50.0,50.0,28.6,1.0,1.29,1.33,1.5,0.0,14.3,0.0,28.6,33.3,14.3,16.7,14.3,33.3,14.3,16.7,28.6,25.0,0.0,8.3,14.3,33.3,14.3
Franca_1 Ligue 1,Olympique Marseille,13,13,13,13,84.6,38.5,15.4,69.2,38.5,7.7,92.3,53.8,46.2,69.2,46.2,38.5,1.38,1.31,2.31,1.62,15.4,0.0,38.5,38.5,15.4,15.4,23.1,23.1,7.7,0.0,15.4,30.8,23.1,7.7,46.2,23.1,69.2,15.4
Franca_1 Ligue 1,PSG,12,13,12,13,83.3,33.3,8.3,61.5,38.5,23.1,100.0,58.3,33.3,84.6,46.2,15.4,1.25,1.38,1.92,1.54,16.7,15.4,25.0,7.7,16.7,23.1,25.0,46.2,25.0,7.7,33.3,7.7,41.7,23.1,33.3,23.1,41.7,23.1
Franca_1 Ligue 1,Paris,12,14,12,14,83.3,50.0,8.3,64.3,28.6,7.1,58.3,41.7,41.7,71.4,35.7,14.3,1.42,1.0,1.67,1.36,0.0,7.1,8.3,14.3,25.0,14.3,8.3,14.3,8.3,0.0,8.3,21.4,16.7,7.1,8.3,7.1,41.7,14.3
Franca_1 Ligue 1,Rennes,13,13,13,13,76.9,30.8,7.7,76.9,46.2,15.4,84.6,53.8,30.8,84.6,61.5,30.8,1.15,1.38,1.77,1.85,7.7,15.4,15.4,23.1,23.1,38.5,15.4,7.7,15.4,23.1,23.1,15.4,15.4,0.0,15.4,7.7,53.8,15.4
Franca_1 Ligue 1,Strasbourg,13,13,13,13,53.8,15.4,7.7,76.9,38.5,7.7,76.9,38.5,30.8,84.6,46.2,46.2,0.77,1.23,1.54,1.92,0.0,0.0,23.1,7.7,7.7,38.5,23.1,7.7,23.1,15.4,30.8,7.7,30.8,0.0,0.0,46.2,23.1,23.1
Franca_1 Ligue 1,Toulouse,13,13,13,13,61.5,23.1,7.7,76.9,30.8,7.7,61.5,53.8,38.5,69.2,30.8,15.4,1.08,1.31,1.77,1.15,23.1,7.7,7.7,15.4,0.0,15.4,7.7,7.7,15.4,30.8,23.1,0.0,15.4,15.4,23.1,0.0,38.5,38.5
Franca_2 Ligue 2,Amiens SC,14,14,14,14,64.3,42.9,21.4,78.6,14.3,7.1,71.4,50.0,14.3,71.4,64.3,35.7,1.57,1.07,1.43,1.86,0.0,7.1,21.4,14.3,7.1,21.4,14.3,7.1,7.1,14.3,21.4,14.3,7.1,7.1,21.4,7.1,14.3,28.6
Franca_2 Ligue 2,Annecy,13,14,13,14,76.9,15.4,7.7,78.6,21.4,7.1,84.6,46.2,15.4,57.1,35.7,28.6,1.0,1.07,1.46,1.29,23.1,28.6,7.7,7.1,7.7,7.1,15.4,7.1,30.8,0.0,15.4,14.3,7.7,35.7,23.1,0.0,15.4,14.3
Franca_2 Ligue 2,Bastia,13,14,13,14,69.2,23.1,7.7,57.1,35.7,14.3,53.8,15.4,7.7,42.9,7.1,0.0,1.0,1.07,0.85,0.5,0.0,0.0,7.7,14.3,7.7,7.1,7.7,14.3,7.7,0.0,7.7,0.0,7.7,7.1,0.0,7.1,7.7,7.1
Franca_2 Ligue 2,Boulogne,14,14,14,14,64.3,42.9,14.3,57.1,7.1,0.0,85.7,42.9,21.4,64.3,35.7,21.4,1.43,0.64,1.57,1.21,7.1,7.1,7.1,0.0,7.1,7.1,7.1,0.0,7.1,14.3,14.3,0.0,21.4,35.7,21.4,14.3,28.6,14.3
