Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Portugal_1 Primeira Liga,Benfica,14,13,57.1,46.2,83.5,75.7,9.0,13.8,10.8,18.2,8,6,7.1,23.1,14.3,15.4,42.9,30.8
Portugal_1 Primeira Liga,CD Nacional,13,14,30.8,35.7,72.5,75.8,8.1,12.4,11.1,16.3,4,5,15.4,14.3,7.7,7.1,30.8,14.3
Portugal_1 Primeira Liga,CD Tondela,14,12,14.3,25.0,76.5,69.7,4.9,6.1,6.5,8.8,2,3,0.0,8.3,14.3,16.7,7.1,0.0
Portugal_1 Primeira Liga,Casa Pia,12,14,25.0,28.6,79.3,69.2,12.5,9.4,15.8,13.6,3,4,8.3,28.6,0.0,0.0,16.7,14.3
Portugal_1 Primeira Liga,Estrela Amadora,14,13,42.9,30.8,71.0,71.5,10.1,7.9,14.3,11.0,6,4,28.6,23.1,14.3,7.7,7.1,15.4
Portugal_1 Primeira Liga,FC Arouca,13,14,30.8,35.7,69.5,70.2,6.1,3.8,8.8,5.4,4,5,15.4,21.4,23.1,14.3,7.7,7.1
Portugal_1 Primeira Liga,Famalicão,14,13,50.0,30.8,76.3,75.0,12.5,7.8,16.4,10.4,7,4,28.6,15.4,7.1,7.7,28.6,7.7
Portugal_1 Primeira Liga,GD Estoril Praia,14,13,21.4,46.2,75.0,73.2,10.5,13.0,14.0,17.8,3,6,7.1,38.5,21.4,7.7,7.1,23.1
Portugal_1 Primeira Liga,Gil Vicente,13,14,53.8,21.4,82.9,75.7,12.0,10.7,14.5,14.1,7,3,7.7,14.3,23.1,0.0,46.2,7.1
Portugal_1 Primeira Liga,Moreirense FC,13,14,53.8,28.6,74.6,67.0,13.0,10.0,17.5,14.9,7,4,38.5,21.4,7.7,0.0,15.4,14.3
Portugal_1 Primeira Liga,Porto,13,14,69.2,42.9,75.0,76.2,9.0,11.2,12.1,14.7,9,6,23.1,28.6,38.5,7.1,30.8,21.4
Portugal_1 Primeira Liga,Rio Ave FC,13,14,15.4,57.1,67.5,76.6,7.8,11.2,11.5,14.7,2,8,7.7,21.4,7.7,21.4,7.7,21.4
Portugal_1 Primeira Liga,Santa Clara,14,13,35.7,38.5,81.0,83.8,14.3,11.4,17.6,13.6,5,5,7.1,7.7,21.4,7.7,14.3,23.1
Portugal_1 Primeira Liga,Sporting Braga,13,13,46.2,61.5,81.5,82.5,9.3,12.6,11.4,15.2,6,8,0.0,7.7,23.1,23.1,30.8,38.5
Portugal_1 Primeira Liga,Sporting CP,12,14,83.3,71.4,76.0,79.1,11.3,14.9,14.9,18.9,10,10,25.0,28.6,50.0,21.4,50.0,50.0
Portugal_1 Primeira Liga,Vitória Guimarães,14,13,42.9,15.4,69.5,91.0,4.1,1.4,5.9,1.6,6,2,35.7,0.0,21.4,0.0,7.1,15.4
Rep_Tcheca_1 Czech Liga,Baník Ostrava,12,14,16.7,21.4,74.5,87.7,4.9,8.5,6.6,9.7,2,3,0.0,0.0,16.7,7.1,0.0,14.3
